model,,feature,coef
logreg,0,SDAN_0,-0.0063030158999055706
logreg,1,SDAN_1,-0.01293639820463842
logreg,2,SDAN_2,-0.005897986256016236
logreg,3,SDAN_3,-0.008197973995558315
logreg,4,SDAN_4,0.07407904755417558
logreg,5,SDAN_5,0.05435158663920157
logreg,6,SDAN_6,-0.07452163628256145
logreg,7,SDAN_7,0.024962642647713102
logreg,8,SDAN_8,0.0015367544870185461
logreg,9,SDAN_9,-0.033792351141220034
logreg,10,SDAN_10,0.014208262728285384
logreg,11,SDAN_11,0.038668226496377765
logreg,12,SDAN_12,0.12665428958536437
logreg,13,SDAN_13,-0.20331355608759002
logreg,14,SDAN_14,0.02769856155569922
logreg,15,SDAN_15,-0.048783119479000256
logreg,16,SDAN_16,0.0331991169396963
logreg,17,SDAN_17,-0.03140709369378595
logreg,18,SDAN_18,0.024047447618091845
logreg,19,SDAN_19,0.044839134100130344
logreg,20,SDAN_20,-0.023501480768235158
logreg,21,SDAN_21,0.052952213616859714
logreg,22,SDAN_22,-0.12491638804630711
logreg,23,SDAN_23,0.01161248315570572
logreg,24,SDAN_24,0.015012324925239046
logreg,25,SDAN_25,-0.04821026893185191
logreg,26,SDAN_26,-0.01430644797248195
logreg,27,SDAN_27,-0.06610255182448946
logreg,28,SDAN_28,-0.0009076746373023381
logreg,29,SDAN_29,-0.08147012806846958
logreg,30,SDAN_30,-0.0436664592229725
logreg,31,SDAN_31,0.02119287724901158
logreg,32,SDAN_32,0.031728221662088524
logreg,33,SDAN_33,0.043552949082053205
logreg,34,SDAN_34,-0.0750227932991047
logreg,35,SDAN_35,-0.01799099137449562
logreg,36,SDAN_36,0.014798355696014256
logreg,37,SDAN_37,-0.023941377103336294
logreg,38,SDAN_38,-0.02411157081033059
logreg,39,SDAN_39,-0.035700838994351364
