model,,feature,coef
logreg,0,SDAN_0,-0.023913449668088765
logreg,1,SDAN_1,0.06567617290140626
logreg,2,SDAN_2,0.01664941903050115
logreg,3,SDAN_3,-0.019017143977505757
logreg,4,SDAN_4,-0.019813309614129648
logreg,5,SDAN_5,-0.04956152901359968
logreg,6,SDAN_6,-0.035335183185827346
logreg,7,SDAN_7,-0.01735314680367149
logreg,8,SDAN_8,0.020106094516358676
logreg,9,SDAN_9,0.04639990795327697
logreg,10,SDAN_10,0.12182183380865046
logreg,11,SDAN_11,-0.011796161203497251
logreg,12,SDAN_12,-0.044219625810720364
logreg,13,SDAN_13,-0.025068304142282945
logreg,14,SDAN_14,-0.024004661169802165
logreg,15,SDAN_15,-0.02951290477637418
logreg,16,SDAN_16,-0.0003987722472359966
logreg,17,SDAN_17,-0.02594313372952409
logreg,18,SDAN_18,0.013556037866248642
logreg,19,SDAN_19,0.03469748645728746
logreg,20,SDAN_20,0.004457876664816962
logreg,21,SDAN_21,-0.007926046171641558
logreg,22,SDAN_22,-0.018702453645600036
logreg,23,SDAN_23,-0.025227006809664318
logreg,24,SDAN_24,-0.1439474730597338
logreg,25,SDAN_25,0.03522593031162989
logreg,26,SDAN_26,-0.014257883037431134
logreg,27,SDAN_27,-0.08344164113299514
logreg,28,SDAN_28,-0.021160519121317525
logreg,29,SDAN_29,0.04959296790852594
logreg,30,SDAN_30,0.04835953632970959
logreg,31,SDAN_31,-0.034138790693266745
logreg,32,SDAN_32,0.07796266391812959
logreg,33,SDAN_33,0.02684128267064987
logreg,34,SDAN_34,7.512236711089662e-05
logreg,35,SDAN_35,-0.006775381793091027
logreg,36,SDAN_36,0.04337336738570582
logreg,37,SDAN_37,0.03901894658962444
logreg,38,SDAN_38,0.009198682581871058
logreg,39,SDAN_39,0.006167143053731462
