cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
Astro,2.0,SDAN_0,Spectra_0,2000,2847,1481,43,36,0.4024221453287197,0.019172938636127304
Astro,2.0,SDAN_0,Spectra_1,2000,2847,1481,43,36,0.33587081891580156,0.017542022491468905
Astro,2.0,SDAN_0,Spectra_2,2000,2847,1481,43,36,0.35169165705497885,0.017796270401302158
Astro,2.0,SDAN_0,Spectra_3,2000,2847,1481,43,36,0.31055363321799306,0.016804789563716754
Astro,2.0,SDAN_0,Spectra_4,2000,2847,1481,43,36,0.29730872741253367,0.01614393832754743
Astro,2.0,SDAN_0,Spectra_5,2000,2847,1481,43,36,0.23379469434832756,0.014989154824071146
Astro,2.0,SDAN_0,Spectra_6,2000,2847,1481,43,36,0.3209534794309881,0.016772864374222388
Astro,2.0,SDAN_0,Spectra_7,2000,2847,1481,43,36,0.2719915417147251,0.015586086443959497
Astro,2.0,SDAN_0,Spectra_8,2000,2847,1481,43,36,0.4342176086120723,0.021307351292959888
Astro,2.0,SDAN_0,Spectra_9,2000,2847,1481,43,36,0.44430988081507117,0.026171051253591274
Astro,2.0,SDAN_0,Spectra_10,2000,2847,1481,43,36,0.3296424452133795,0.01721779463561078
Astro,2.0,SDAN_0,Spectra_11,2000,2847,1481,43,36,0.5405036524413688,0.029359516014068235
Astro,2.0,SDAN_0,Spectra_12,2000,2847,1481,43,36,0.4500961168781238,0.028512621435799322
Astro,2.0,SDAN_0,Spectra_13,2000,2847,1481,43,36,0.34727028066128407,0.020129398953113626
Astro,2.0,SDAN_0,Spectra_14,2000,2847,1481,43,36,0.2583044982698962,0.015386802462099846
Astro,2.0,SDAN_0,Spectra_15,2000,2847,1481,43,36,0.35274894271434065,0.01767519845265724
Astro,2.0,SDAN_0,Spectra_16,2000,2847,1481,43,36,0.4883890811226451,0.022717627991945155
Astro,2.0,SDAN_0,Spectra_17,2000,2847,1481,43,36,0.2550941945405613,0.015412363051157209
Astro,2.0,SDAN_0,Spectra_18,2000,2847,1481,43,36,0.37193387158785085,0.018599197048447317
Astro,2.0,SDAN_0,Spectra_19,2000,2847,1481,43,36,0.40863129565551715,0.01983691342662953
Astro,2.0,SDAN_0,Spectra_20,2000,2847,1481,43,36,0.22149173394848135,0.014739694509499315
Astro,2.0,SDAN_0,Spectra_21,2000,2847,1481,43,36,0.3704536716647443,0.01805496757519297
Astro,2.0,SDAN_0,Spectra_22,2000,2847,1481,43,36,0.20603613994617453,0.014482926709245635
Astro,2.0,SDAN_0,Spectra_23,2000,2847,1481,43,36,0.27839292579777014,0.015860014215484712
Astro,2.0,SDAN_0,Spectra_24,2000,2847,1481,43,36,0.4286236063052672,0.020016303575607155
Astro,2.0,SDAN_0,Spectra_25,2000,2847,1481,43,36,0.31424452133794695,0.01670121911020991
Astro,2.0,SDAN_0,Spectra_26,2000,2847,1481,43,36,0.3271049596309112,0.01705382237317968
Astro,2.0,SDAN_0,Spectra_27,2000,2847,1481,43,36,0.338562091503268,0.0187499541885971
Astro,2.0,SDAN_0,Spectra_28,2000,2847,1481,43,36,0.3616301422529796,0.01781632728666104
Astro,2.0,SDAN_0,Spectra_29,2000,2847,1481,43,36,0.2736447520184544,0.015657000363269946
Astro,2.0,SDAN_0,Spectra_30,2000,2847,1481,43,36,0.48700499807766245,0.0489962407035823
Astro,2.0,SDAN_0,Spectra_31,2000,2847,1481,43,36,0.3902153018069973,0.024355133148625925
Astro,2.0,SDAN_0,Spectra_32,2000,2847,1481,43,36,0.5169934640522875,0.03289981290402302
Astro,2.0,SDAN_0,Spectra_33,2000,2847,1481,43,36,0.3567474048442907,0.021286734922550756
Astro,2.0,SDAN_0,Spectra_34,2000,2847,1481,43,36,0.3410611303344867,0.017222300242989375
Astro,2.0,SDAN_0,Spectra_35,2000,2847,1481,43,36,0.4913494809688582,0.024544680761274897
Astro,2.0,SDAN_0,Spectra_36,2000,2847,1481,43,36,0.44900038446751245,0.048061185803261124
Astro,2.0,SDAN_0,Spectra_37,2000,2847,1481,43,36,0.38558246828143017,0.034357892292477675
Astro,2.0,SDAN_0,Spectra_38,2000,2847,1481,43,36,0.4952326028450596,0.03043160079818867
Astro,2.0,SDAN_0,Spectra_39,2000,2847,1481,43,36,0.4858323721645521,0.024184167549202724
Astro,2.0,SDAN_1,Spectra_0,2000,2847,1481,45,29,0.3315284506507077,0.013821962500711231
Astro,2.0,SDAN_1,Spectra_1,2000,2847,1481,45,29,0.5309442386244895,0.03830701131443294
Astro,2.0,SDAN_1,Spectra_2,2000,2847,1481,45,29,0.44421487603305787,0.018355863856241425
Astro,2.0,SDAN_1,Spectra_3,2000,2847,1481,45,29,0.6381447705899117,0.047655772306065894
Astro,2.0,SDAN_1,Spectra_4,2000,2847,1481,45,29,0.48534720243184193,0.01787158222496185
Astro,2.0,SDAN_1,Spectra_5,2000,2847,1481,45,29,0.4893131946423483,0.03343227579777355
Astro,2.0,SDAN_1,Spectra_6,2000,2847,1481,45,29,0.33696684715493497,0.013993562045373059
Astro,2.0,SDAN_1,Spectra_7,2000,2847,1481,45,29,0.376270542414743,0.014750969584735346
Astro,2.0,SDAN_1,Spectra_8,2000,2847,1481,45,29,0.4119644723092999,0.015964200996908557
Astro,2.0,SDAN_1,Spectra_9,2000,2847,1481,45,29,0.5046072005319655,0.021804002103092943
Astro,2.0,SDAN_1,Spectra_10,2000,2847,1481,45,29,0.48670086444381117,0.018627182113071947
Astro,2.0,SDAN_1,Spectra_11,2000,2847,1481,45,29,0.48363731357461764,0.04773986776764612
Astro,2.0,SDAN_1,Spectra_12,2000,2847,1481,45,29,0.5050584212026218,0.02083382942589481
Astro,2.0,SDAN_1,Spectra_13,2000,2847,1481,45,29,0.5509641873278237,0.02735559409024473
Astro,2.0,SDAN_1,Spectra_14,2000,2847,1481,45,29,0.43378930369525975,0.01702045690124073
Astro,2.0,SDAN_1,Spectra_15,2000,2847,1481,45,29,0.4585351952123112,0.01778733806464226
Astro,2.0,SDAN_1,Spectra_16,2000,2847,1481,45,29,0.6953073050251735,0.047602134433278424
Astro,2.0,SDAN_1,Spectra_17,2000,2847,1481,45,29,0.41612045217060895,0.016557322731814025
Astro,2.0,SDAN_1,Spectra_18,2000,2847,1481,45,29,0.2640353377030493,0.012687325470178274
Astro,2.0,SDAN_1,Spectra_19,2000,2847,1481,45,29,0.5317991830531016,0.02781248216791542
Astro,2.0,SDAN_1,Spectra_20,2000,2847,1481,45,29,0.25213736107153034,0.012317432062869074
Astro,2.0,SDAN_1,Spectra_21,2000,2847,1481,45,29,0.6055618884772489,0.024589899003060543
Astro,2.0,SDAN_1,Spectra_22,2000,2847,1481,45,29,0.2903248788828726,0.012975477168786737
Astro,2.0,SDAN_1,Spectra_23,2000,2847,1481,45,29,0.43321934074285173,0.01909580196590402
Astro,2.0,SDAN_1,Spectra_24,2000,2847,1481,45,29,0.37593806402583835,0.014755124483106423
Astro,2.0,SDAN_1,Spectra_25,2000,2847,1481,45,29,0.2856226845255059,0.013039028765263173
Astro,2.0,SDAN_1,Spectra_26,2000,2847,1481,45,29,0.5046309489883157,0.042009560697700545
Astro,2.0,SDAN_1,Spectra_27,2000,2847,1481,45,29,0.43388429752066116,0.01924665490520188
Astro,2.0,SDAN_1,Spectra_28,2000,2847,1481,45,29,0.5301367911085779,0.021224790275579126
Astro,2.0,SDAN_1,Spectra_29,2000,2847,1481,45,29,0.41645293055951366,0.016297278070663036
Astro,2.0,SDAN_1,Spectra_30,2000,2847,1481,45,29,0.49693644913080653,0.021882012255224147
Astro,2.0,SDAN_1,Spectra_31,2000,2847,1481,45,29,0.46309489883157595,0.02687270214332526
Astro,2.0,SDAN_1,Spectra_32,2000,2847,1481,45,29,0.36135651182673123,0.01467546515203659
Astro,2.0,SDAN_1,Spectra_33,2000,2847,1481,45,29,0.47888762230455023,0.019314873944319855
Astro,2.0,SDAN_1,Spectra_34,2000,2847,1481,45,29,0.3105823121497103,0.013561361561800317
Astro,2.0,SDAN_1,Spectra_35,2000,2847,1481,45,29,0.4188515246508977,0.016798934217181392
Astro,2.0,SDAN_1,Spectra_36,2000,2847,1481,45,29,0.5763750356226847,0.02299934001011699
Astro,2.0,SDAN_1,Spectra_37,2000,2847,1481,45,29,0.479790063645863,0.019014350765634354
Astro,2.0,SDAN_1,Spectra_38,2000,2847,1481,45,29,0.5758288211266267,0.03343854239349875
Astro,2.0,SDAN_1,Spectra_39,2000,2847,1481,45,29,0.41543174693644913,0.018861938405677826
Astro,2.0,SDAN_2,Spectra_0,2000,2847,1481,45,26,0.6483743061062649,0.027413692095085637
Astro,2.0,SDAN_2,Spectra_1,2000,2847,1481,45,26,0.40174464710547186,0.01969882156660587
Astro,2.0,SDAN_2,Spectra_2,2000,2847,1481,45,26,0.35048902987047315,0.01302143280821968
Astro,2.0,SDAN_2,Spectra_3,2000,2847,1481,45,26,0.35432196669310073,0.014343273573550787
Astro,2.0,SDAN_2,Spectra_4,2000,2847,1481,45,26,0.3127676447264076,0.01211139051140305
Astro,2.0,SDAN_2,Spectra_5,2000,2847,1481,45,26,0.3139571768437748,0.012881964235622547
Astro,2.0,SDAN_2,Spectra_6,2000,2847,1481,45,26,0.24234734337827124,0.011027875190404123
Astro,2.0,SDAN_2,Spectra_7,2000,2847,1481,45,26,0.3458366375892149,0.012659045642913968
Astro,2.0,SDAN_2,Spectra_8,2000,2847,1481,45,26,0.5046788263283108,0.01675738146251602
Astro,2.0,SDAN_2,Spectra_9,2000,2847,1481,45,26,0.5399682791435368,0.028232720798443342
Astro,2.0,SDAN_2,Spectra_10,2000,2847,1481,45,26,0.4824477927570711,0.016527727699067546
Astro,2.0,SDAN_2,Spectra_11,2000,2847,1481,45,26,0.36423473433782716,0.013009531706155647
Astro,2.0,SDAN_2,Spectra_12,2000,2847,1481,45,26,0.6065292096219931,0.022480401390813188
Astro,2.0,SDAN_2,Spectra_13,2000,2847,1481,45,26,0.4205392545598732,0.014444276401591525
Astro,2.0,SDAN_2,Spectra_14,2000,2847,1481,45,26,0.3260375363468147,0.015625590116930817
Astro,2.0,SDAN_2,Spectra_15,2000,2847,1481,45,26,0.26574147501982553,0.011408923277365037
Astro,2.0,SDAN_2,Spectra_16,2000,2847,1481,45,26,0.47665873645255086,0.01580463346489576
Astro,2.0,SDAN_2,Spectra_17,2000,2847,1481,45,26,0.2654771345492995,0.0113453677993291
Astro,2.0,SDAN_2,Spectra_18,2000,2847,1481,45,26,0.17919640496960082,0.010358103335912253
Astro,2.0,SDAN_2,Spectra_19,2000,2847,1481,45,26,0.4814961670631773,0.018208042871044442
Astro,2.0,SDAN_2,Spectra_20,2000,2847,1481,45,26,0.5591329632566746,0.019097530820016
Astro,2.0,SDAN_2,Spectra_21,2000,2847,1481,45,26,0.8251123446999735,0.05367421372548407
Astro,2.0,SDAN_2,Spectra_22,2000,2847,1481,45,26,0.30346286016389107,0.012237318063386479
Astro,2.0,SDAN_2,Spectra_23,2000,2847,1481,45,26,0.38012159661644196,0.01407850725653847
Astro,2.0,SDAN_2,Spectra_24,2000,2847,1481,45,26,0.48049167327517844,0.016017768004160583
Astro,2.0,SDAN_2,Spectra_25,2000,2847,1481,45,26,0.36590007930214113,0.01336654444711807
Astro,2.0,SDAN_2,Spectra_26,2000,2847,1481,45,26,0.5985196933650542,0.029992488992199372
Astro,2.0,SDAN_2,Spectra_27,2000,2847,1481,45,26,0.33224953740417656,0.012442404781074124
Astro,2.0,SDAN_2,Spectra_28,2000,2847,1481,45,26,0.6446471054718477,0.023513330183612055
Astro,2.0,SDAN_2,Spectra_29,2000,2847,1481,45,26,0.37063177372455725,0.013159361548023513
Astro,2.0,SDAN_2,Spectra_30,2000,2847,1481,45,26,0.3694158075601375,0.01730501286525677
Astro,2.0,SDAN_2,Spectra_31,2000,2847,1481,45,26,0.2551942902458367,0.011183048878886544
Astro,2.0,SDAN_2,Spectra_32,2000,2847,1481,45,26,0.20481099656357388,0.010616885629535019
Astro,2.0,SDAN_2,Spectra_33,2000,2847,1481,45,26,0.3423209093312186,0.012641938531947833
Astro,2.0,SDAN_2,Spectra_34,2000,2847,1481,45,26,0.20803595030399152,0.010631390571231166
Astro,2.0,SDAN_2,Spectra_35,2000,2847,1481,45,26,0.2735659529473963,0.020801320182323974
Astro,2.0,SDAN_2,Spectra_36,2000,2847,1481,45,26,0.3652656621728787,0.01307508737042814
Astro,2.0,SDAN_2,Spectra_37,2000,2847,1481,45,26,0.4857784826856992,0.017656497986105024
Astro,2.0,SDAN_2,Spectra_38,2000,2847,1481,45,26,0.40454665609304785,0.013981575580143606
Astro,2.0,SDAN_2,Spectra_39,2000,2847,1481,45,26,0.32574676182923606,0.01294606587522178
Astro,2.0,SDAN_3,Spectra_0,2000,2847,1481,43,42,0.4982957741818062,0.029829997284791868
Astro,2.0,SDAN_3,Spectra_1,2000,2847,1481,43,42,0.5028458916575664,0.033236429538024304
