feature_name,Spectra_0,Spectra_1,Spectra_2,Spectra_3,Spectra_4,Spectra_5,Spectra_6,Spectra_7,Spectra_8,Spectra_9,Spectra_10,Spectra_11,Spectra_12,Spectra_13,Spectra_14,Spectra_15,Spectra_16,Spectra_17,Spectra_18,Spectra_19,Spectra_20,Spectra_21,Spectra_22,Spectra_23,Spectra_24,Spectra_25,Spectra_26,Spectra_27,Spectra_28,Spectra_29,Spectra_30,Spectra_31,Spectra_32,Spectra_33,Spectra_34,Spectra_35,Spectra_36,Spectra_37,Spectra_38,Spectra_39
FGR,3.1474145056866673e-07,3.4518785416942844e-14,3.305061918946482e-08,1.0830755431160738e-16,1.182028993430966e-11,1.5162194914193262e-14,9.58759315791458e-10,3.1976275766387585e-14,2.8929343359267383e-05,1.388417936122145e-15,2.682376932265084e-12,0.00015248756133897566,0.00029488208593440006,2.4864516342759605e-14,2.057038125873011e-12,0.0001547918752342495,2.3397693769506946e-10,1.8001878202412824e-14,0.00013133408422193825,2.805308198902368e-05,0.0001331322876757738,1.2459928127762092e-10,4.000220373449065e-05,2.3620253976487643e-11,0.00013646135975503177,0.0004912695833773942,1.1036584140052274e-09,1.4886287657416632e-06,3.1431777064973376e-07,2.1489158924759498e-13,0.0012389076874471374,0.046432862296596676,5.483765944177483e-07,2.3191850643297054e-10,0.00788253171156912,8.385669031039524e-11,2.8296770318958497e-05,0.1169863020203052,1.682505606541354e-05,0.037338471675313206
GCLC,2.474511009802874e-09,0.0009115190202703118,6.470077388376644e-13,7.167485765813807e-14,0.012409012556338764,1.043161227444251e-06,0.0017841008133970973,0.06767467802125587,0.0001987889658547287,2.9078168418178686e-07,0.0013710795147523047,0.0038102873285164956,1.57640283518678e-09,0.002936770419386744,0.006719815567439866,0.004607635059038513,3.727356827639537e-09,3.507501574170327e-10,0.004017524816653028,5.586305403695296e-08,0.007095080655025676,0.08754861570646728,7.869609873504469e-13,0.00189585499706038,3.52124474471387e-10,0.13130914911957767,0.060561778218833566,0.002430178567322309,0.0023056814745736863,0.006881904875810474,0.0009613425074972826,0.0004801189699012698,0.021422006470436492,0.014695641615559673,0.002307122890449467,9.673361576526061e-12,1.4239957669495128e-05,0.07496821356975879,0.018514323499746455,0.0031651943581988288
NIPAL3,1.7519874534059236e-06,5.158054031232807e-13,2.7984831995912268e-15,3.610749589664045e-08,0.05874356304958931,1.346340225214544e-15,6.513729701785781e-07,2.7929335718871592e-14,4.523582539315171e-07,4.882829448471348e-17,8.250372317904673e-11,0.00025396391266686733,0.004712385541989045,1.2833524595514678e-07,1.5844210154763337e-14,2.6384098436160617e-12,0.0004732884536994442,1.2464051701263817e-13,0.003873848606781868,2.805175809084778e-10,0.004242788540122132,0.0005291332468804783,2.2299760441014137e-13,0.0005466322994842973,3.31322899394082e-07,0.03149602246728889,0.03983703395515192,0.007941227578190681,2.2823223501600966e-05,0.02103865786447461,0.002403360825443909,0.004028740870882477,0.07522305674327147,0.03624204315359697,3.5913419658341177e-12,3.5000486699662166e-06,0.0020464181420460923,0.05541667543918739,0.0010393628476929033,0.008370561607982548
CFTR,6.754221063800215e-07,9.385423985137932e-16,1.084048931013824e-12,4.714085215333063e-17,5.776069919510481e-10,1.4231308618002902e-15,2.7300923032785797e-07,1.6187725206107365e-15,9.566839607140824e-14,1.9419370753568753e-16,1.814163728202504e-15,7.569853539662645e-07,4.498043160794232e-08,4.051362840092562e-15,8.738430123408871e-14,2.051557606853772e-07,4.899004488995846e-13,0.00016009020906121248,0.0008272490510661055,9.476357620548716e-15,7.740040806154413e-05,2.0556097338506208e-11,0.008026340149147463,3.311106030389721e-14,9.829124735511048e-11,0.0010941079805090578,5.205629991379422e-12,9.141521467652501e-09,0.001989811750139288,3.363583414748302e-13,1.0366817177870053e-11,4.391051689176997e-12,2.15067018013514e-09,9.16895373590805e-07,0.019808928342870152,0.010319614878589452,6.981577516872259e-10,2.3502293479633525e-13,1.7513525706906644e-13,1.3380175705994148e-09
CD99,0.0026877678015305925,5.218525600989518e-10,0.00022487883312088868,2.736549858678336e-13,0.02436076342595099,1.7302501076598845e-05,0.00358740907990504,0.0014318700743238117,0.009687140869134872,2.753042588214189e-08,1.9736535404772068e-07,0.0020558834052204294,9.781340784342814e-05,0.03328111917850357,9.254952229467048e-05,2.76262019842501e-07,1.0965221652128303e-09,0.0049669491042890835,0.008818114562139993,2.1381035400642378e-06,0.007215787530280649,0.00137833517416356,0.008041000089086798,1.4912225065750314e-08,8.531430101312167e-06,0.0313869684582251,0.02853564538180163,1.0858320398583994e-07,0.0008777732253452591,0.10548413341228315,0.0025939129390854885,0.02055123755600968,0.0875556320643489,0.05014288313022472,0.0040015932431103135,0.002413132607817283,0.00011235290902692232,1.0651366283208874e-09,0.025610941962413973,0.01487351660526702
KLHL13,0.001970859344575165,1.250325691734882e-14,2.4722581249423844e-15,1.9092536101688901e-16,3.7454869492619227e-13,9.948981713451443e-14,1.9454768760834817e-09,0.19884702419912573,5.844288294313962e-14,1.4580637790182655e-11,0.0010532563000123186,6.46063006777852e-06,6.813904003277452e-07,1.044306138631938e-13,5.99222401129421e-14,1.3408381002734966e-05,1.7738780226736006e-10,1.0329136721598674e-13,0.02274689715337517,3.187873149187475e-09,0.0025771643378875437,1.0897756621934508e-05,0.0028177437701279126,0.0002698727282872759,8.609163558020823e-07,0.045698499038232865,2.0502198836604155e-05,6.320378888605562e-06,6.387320036620493e-07,0.021243184461482437,8.66946481061954e-05,2.813096537457017e-06,5.3506014470675773e-14,0.0005692977386943589,4.332205162565191e-05,6.151394183096655e-09,3.1026692007062075e-13,1.4679091676892278e-15,1.1197691119982388e-13,2.2418302223024384e-13
ICA1,6.31454786780762e-06,2.4920853511142e-14,7.81337193447471e-15,9.406955060957449e-17,4.889982679753037e-13,9.585133642429365e-14,7.401907478427525e-09,2.510621587427931e-13,5.301833488666366e-13,3.625882386563072e-05,0.0013127055107746927,4.2794794721645675e-08,1.3254232453541975e-07,7.123274849957709e-13,2.061413730033056e-14,3.2381285905480783e-09,0.005891616599365885,7.169177371996645e-14,0.0002743337161844939,0.023467357908268142,0.00010211485978588712,0.007020112870150706,2.4097468203790487e-14,2.4808971137246733e-14,6.270246005364824e-05,0.0009852160019291,2.711804487409337e-12,9.649745901645855e-07,0.0009286857520930627,0.0007252103060004863,5.853596034936496e-05,0.037622429491241165,8.133254966856976e-08,0.1010680919369503,0.0006410636701862661,4.87420230066456e-05,7.458541893668232e-08,0.050734999024073905,0.01669654163760583,0.004919480312655762
SLC7A2,3.1100998627946965e-11,1.672574980330215e-14,1.6715663580928466e-15,2.954867828582666e-11,3.740734188926358e-12,1.9011349358977027e-13,4.867249136160187e-07,0.2336105252294784,2.3291448907442007e-10,2.432469984213672e-13,5.506336116851026e-12,1.1993643904290263e-06,1.6659568713565758e-09,2.972542692162963e-12,5.286092435740895e-14,3.857430686899293e-05,6.9994162979844605e-12,2.1165603400895744e-14,0.013910762510232919,3.797513854506699e-11,0.021626306679616444,0.11597961209428076,3.370856004595674e-06,0.0022044336174049358,0.03237028213830974,0.05616061366165923,0.01239038088473695,0.011848769567233786,0.0014590617774652335,0.08936533136338617,6.71807968527591e-09,4.4867971880083375e-08,1.0835287823598624e-07,2.979994203907908e-08,1.7917467258557392e-05,2.447188574851025e-10,4.1163505299832235e-08,0.000390548343864843,8.55142569153115e-11,1.954052907139222e-09
CD38,3.6850407758744885e-10,1.0787124118026792e-17,2.884742041069789e-17,6.098392857040568e-11,3.4771588829201584e-15,3.5501125385231435e-18,5.999560538670554e-16,2.8096375850211323e-16,2.522851968345787e-15,4.946246946347567e-18,1.0571610174584929e-16,3.8680432165624086e-11,1.1809834506824515e-07,0.0006950620492723803,9.866701407743492e-18,6.612567948066381e-13,5.995615092939339e-08,3.304099296685543e-18,1.1054156849893134e-11,5.603201186601188e-09,0.03721597196678961,0.2043775242089069,5.443997923912936e-13,0.00015089740169898765,7.910443434242878e-10,1.5743652287188928e-07,0.03783817782934647,9.201203448593963e-05,0.0028779318465642655,0.03048428327258147,0.002169836680632254,3.835946186291034e-16,5.724390764868019e-16,5.393592238674168e-16,2.622202317053707e-16,2.239756091627673e-15,4.035217221162354e-12,7.546316052216089e-16,1.3377835388088167e-16,1.7888209094820556e-16
PDK4,6.662459756394179e-13,1.5735629738123072e-14,1.4939964415891353e-07,6.341302927805521e-06,4.2971818577178994e-08,7.744303293690216e-13,0.010105229352780711,0.0422953204385164,1.2072381468924104e-05,3.026368286868892e-09,1.80711880579885e-05,6.910286845891377e-12,2.9683750870610806e-10,7.291360155913502e-11,4.5903149506911674e-14,1.3522185190702812e-06,6.515547686832471e-14,5.427666251334541e-14,6.575912771906649e-10,6.054916648054704e-09,0.006577123046326143,0.05577608330989366,4.037698886422564e-12,0.0010039288643266676,1.6144990553482268e-11,0.16495377461944688,0.06294393471612969,0.0064903257893936415,0.0041629929380481105,2.6579306929178732e-12,6.473883733131928e-10,1.906223065508298e-06,0.09208479784880998,0.013437177991442166,4.091751537021443e-06,0.005016889822473062,0.00529184648485673,6.254748611695357e-10,0.05776511542563312,1.53024350061343e-08
