,sciRED_0,sciRED_1,sciRED_2,sciRED_3,sciRED_4,sciRED_5,sciRED_6,sciRED_7,sciRED_8,sciRED_9,sciRED_10,sciRED_11,sciRED_12,sciRED_13,sciRED_14,sciRED_15,sciRED_16,sciRED_17,sciRED_18,sciRED_19,sciRED_20,sciRED_21,sciRED_22,sciRED_23,sciRED_24,sciRED_25,sciRED_26,sciRED_27,sciRED_28,sciRED_29,sciRED_30,sciRED_31,sciRED_32,sciRED_33,sciRED_34,sciRED_35,sciRED_36,sciRED_37,sciRED_38,sciRED_39
NIPAL3,-0.0012171540087156081,-0.008431980134643505,0.00780888419994023,0.020054159733706084,-0.0052941937742102835,-0.00243716779325511,-0.0011218726408746794,-0.004948752576679638,0.009438315775967387,-0.006523438890120857,-0.025031024809199384,0.005199597500471228,0.002599814398390116,0.009752840648766628,0.008596888512511681,0.010886250202417019,-0.004751011472628509,0.012091130746278687,0.033784053472043385,0.0009760144325740631,0.005890517486574679,-0.004632790447183269,0.03066392526876591,0.006864047799651176,-0.0172682750351522,-0.018857744426355072,0.012347281971643139,-0.022361575409681207,0.021091235003842742,0.006084496787902113,0.014739711544886193,0.008180011750614972,0.011748585221264485,-0.02143819168804273,-0.021267164400993206,0.00011646398265646832,0.007946203778676015,-0.005634715120968407,-0.04228694924497083,-4.158682198562398e-05
SLC7A2,-0.01232598939408604,-0.0058916258439184995,0.026795100442928804,-0.06884076786582612,-0.020765118415800473,0.0019078287337782082,0.025473863884783152,-0.00798891662837585,0.0003666220716937675,0.0003673238033759387,0.021065511876127044,0.002226579890268104,-0.04472615682235032,-0.036194627986684984,-0.0002594220322024173,-0.00017697279577357004,0.010979744244622077,-0.03696560444237454,-0.009077389199192848,0.018751685152635592,-0.002104060014801684,0.047559004513722046,-0.01192568271991429,-0.002813519502751589,0.02270412464814619,-0.03735820623941289,-0.017386178379743253,0.025828744493321523,0.06574772520911623,0.004083984294200592,-0.02270424790736075,0.034325176216842966,-0.005068405911086815,-0.0038880459479949656,-0.012953760947930926,-0.009350607174265637,0.033868590054691575,-0.02728125282443518,-0.04371539133528533,0.029331527287731217
PDK4,-0.006713429386069981,-0.01346126388370422,-0.020429694046066642,0.03680570512403354,-0.0022080732979866367,-0.008376558003596137,0.01483725800287442,0.038809910673842894,-0.0008481632620591339,0.041200080902505654,0.03595388288956938,0.024431142836257462,0.003495385718469393,-0.011778361845935172,-0.03240398635008422,-0.02201791984814815,0.03286859211368702,-0.004446545675421901,-0.03683292485445234,-0.04680922059971087,0.04191986739066619,-0.00953127896577753,0.010162260057434855,-0.02910347795428874,0.004987232515842907,-0.01031728323316855,0.013263296350832924,-0.004854948378320997,-0.022112534205122034,0.029154991647105274,-0.04331054101522299,-0.019869692946145955,-0.03130693841125801,-0.030260375769879447,0.0019340730923514318,-0.07792447969469811,0.022335110093729828,-0.011689930531087297,0.008195936377767218,0.0012700410759205047
RHBDD2,0.002997790309223342,-0.001481914606758839,0.0075367628074443655,-0.002722368037755925,0.009946127447234495,0.02838390561184902,0.002803262887953844,0.007522427253300624,-0.0015890549189480538,0.050968093145570846,-0.003922074595457058,-0.0018470401830699397,-0.00523501428952017,0.0011795499743813265,-0.0047681766736629785,-0.005311264318676924,0.004889415173528803,-0.008223139034538859,-0.00827619594740788,-0.004165340105550536,-8.757705511808623e-05,-0.006892401903099727,-0.007576944560523352,-0.014203335246068125,-0.0022255238435298047,-0.005528370212109799,-0.015039008139838514,0.0034313561438943634,0.0030453127516933028,-0.010133335811919456,-0.012939874165747366,-0.02898981633025837,0.013918709742981086,-0.03258212419174905,-0.0019713154508197626,-0.0233716741124219,0.007119922604537479,-0.011325187313928441,-0.0016101952940088336,-0.018035953719658503
CRLF1,-0.011792151372834746,-0.0032154476609878384,-0.007931153058864238,-0.006414613436085856,0.00778900450283958,0.0033378162648911537,0.043332970206832515,0.001967863285394778,-0.002850585267100605,0.06683270173028591,-0.005729523046809036,-0.009208279661657813,-0.002606625987254021,0.020716383357125955,0.05817897978998607,0.017386355003886453,-0.02169818731375997,-0.008520823922208619,-0.02469329817890581,0.007714371772748243,0.021960153565398002,0.02800819084390109,-0.024717103693485808,-0.016079024815697677,0.016102342923196577,-0.007080266956392697,0.027843762603509438,-0.05030967462718775,-0.020465174986083308,-0.023658382308382242,-0.030843657626060048,-0.05234780984833765,0.014245213908144138,0.02646630130853309,-0.0016804177392840958,0.03045752529811961,0.023074653983781522,0.019055223052130386,0.01669089986117908,0.01846274022069822
MAP3K9,-0.007630839297468712,-0.004900645200729551,-0.0013322730821241518,-0.003378566183973425,-0.0018117864819722099,-0.006871543017341908,-0.003754764797140541,-0.00550400418813724,0.01719122349519585,0.0037019091034722895,0.006237235588926526,-0.008822332994542634,-0.011180539361012931,0.012966263948290797,-0.0026855638503265537,0.017845389001979885,-0.002156839193942026,0.004326938887089584,0.004786941546712912,0.008137630288914054,-0.0017980865293758831,0.011627006239172556,0.014553641562473749,-0.005445464083863256,0.0027933980968940573,-0.00387121310189515,0.0058215703444366084,-0.004409835115415361,0.014849909280238676,-0.015065594464016155,-0.012773513158114681,0.0011099142917007584,0.0011651180193218591,-0.0024489147746365237,0.0027523686136111617,0.004057559366088647,-0.06394190633923937,-0.030013243496336356,0.011981212298337327,-0.02448408295042302
GTF2IRD1,0.005787956582929925,-0.01550102020117364,-0.036194961256365524,-0.0023668427997169785,-0.010425284915491178,0.0027358386816769757,0.0005137885386099616,-0.009830444916364424,0.004993728208454013,0.0015990596651187523,-0.09878877495888583,-0.007901407782258665,-0.01159605812217505,-0.011785173366966219,0.0053880731508964596,-0.015505651462592779,0.00854958373694124,-0.03160872939414887,-0.0011306575665326185,0.01967314754686262,0.0011685935147700418,-0.011837675834736692,-0.027130698318261967,-0.01001364125042989,-0.005368950882546802,-0.01687946839214855,0.0212689510073688,0.012612848545134,-0.005592773675828539,-0.020925777362903304,0.013838448359230511,-0.010147127604403372,0.009398237241398974,0.034309513314960814,0.005595553842291731,0.007537842669412903,0.020793871656806195,-0.0007911801201400828,-0.007554224439061139,-0.03332863262928098
CCDC124,0.0027335386098206065,-0.0018437441119688997,-0.004514816406949139,-0.004476678502849446,-0.005544983698360286,0.0012676058147327368,-0.007596401640906886,0.003653178786007225,-0.011573061585426016,0.0008821867570865991,-0.010696775406665533,-0.014883283472132292,-0.00402476245412089,-0.006020555441094,0.019173909965990617,-0.0052786626090891,0.012511780134703656,0.012260109643763476,-0.010556669612476461,0.004993040292872489,-0.013739385978428574,-0.00026668455345774366,0.001759417799542292,0.028829334801893435,0.002521431469220295,0.005692739762229698,0.012812771276005063,-0.00915097337716914,0.0018737126574686158,-0.0011091235014597154,0.018158623100421618,0.0033029036956780298,0.012522387541166514,-0.012212802312474375,0.014511194576428837,-0.010369418299376843,-0.01813001244332755,0.009335212742713797,0.01686031778036978,-0.0012841172224808354
BAIAP3,-0.00608243084791339,-0.006434227812967943,-0.011192533961630986,-0.009113266756376791,0.0015044146925196438,-0.038528215717306524,-0.0026175037396314925,-0.0065314768231819606,-0.030165434282132263,0.007014179000634834,-0.025613111489384253,-0.0349056535867476,0.00915206160551747,-0.0026335129997135127,-0.04306398169935212,-0.012060806756946506,0.018967554199985328,0.009588467766968995,0.0004500650848636728,0.0006488731192240597,0.031576122108040575,-0.018019107732341434,0.011908015959537673,0.029766597951459414,-0.002571202907993,0.039570354611252447,0.012435474842502228,-0.013176075167467714,0.009121289843538015,-0.012472027060655795,-0.014874451587200691,0.00548568955347077,-0.006325233865872371,0.005414763217136219,-0.036742839818974346,0.018468196493428006,-0.0025479668593536633,-0.014285777775730112,0.05168416722499731,0.029806267172793863
PIGQ,0.006576833436657813,-0.0035132610878175394,0.0055880436724993305,-0.0005459246461483122,0.010665662361329261,-0.0006325247723692557,-0.01309971079300722,-0.013070806176465196,-0.00018761728959182085,0.03530316476789,-0.04282078326173336,-0.011380441587679785,0.0015431732708349887,-0.01799432708704606,0.00632459791789888,-0.0029715403218712826,0.009613540348880152,-0.01304765720146832,0.013519090638273144,-0.014699823710914859,-0.0012691873550685086,-0.003969222054686357,0.0092866444481846,0.0015380345624498787,0.015495849694550723,-0.009023324103548088,-0.03711106289863404,-0.01035081788608173,0.01134956008902786,0.053212942897851216,0.023617276720501883,-0.011814629906533482,-0.017950245485199065,0.01478468819648323,-0.0418941061781282,0.003504768449153115,0.010171581015730508,-0.026328539301589193,-0.00412698830470946,-0.027926923269350142
