cell_type,sdan_weight,program,factor,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision
cd8_BL,2.0,SDAN_0,sciRED_0,1616,19,18,0.6452162425253789,0.018569223577572447
cd8_BL,2.0,SDAN_0,sciRED_1,1616,19,18,0.3605200945626478,0.008538105259151666
cd8_BL,2.0,SDAN_0,sciRED_2,1616,19,18,0.42740926157697123,0.009542630120279675
cd8_BL,2.0,SDAN_0,sciRED_3,1616,19,18,0.5742247253511333,0.014451507958701064
cd8_BL,2.0,SDAN_0,sciRED_4,1616,19,18,0.4792448894451398,0.01293354387877435
cd8_BL,2.0,SDAN_0,sciRED_5,1616,19,18,0.5358086497010152,0.01160354483478185
cd8_BL,2.0,SDAN_0,sciRED_6,1616,19,18,0.4566124322069254,0.009999730320298201
cd8_BL,2.0,SDAN_0,sciRED_7,1616,19,18,0.5487067167292449,0.014752571589917461
cd8_BL,2.0,SDAN_0,sciRED_8,1616,19,18,0.4500417188151857,0.011089750838184271
cd8_BL,2.0,SDAN_0,sciRED_9,1616,19,18,0.5174176053400084,0.014271356798910903
cd8_BL,2.0,SDAN_0,sciRED_10,1616,19,18,0.4054025865665415,0.009151742665355971
cd8_BL,2.0,SDAN_0,sciRED_11,1616,19,18,0.4325198164372131,0.01323821990056836
cd8_BL,2.0,SDAN_0,sciRED_12,1616,19,18,0.5573286052009456,0.014006126978341991
cd8_BL,2.0,SDAN_0,sciRED_13,1616,19,18,0.5559379780280908,0.014291112729020186
cd8_BL,2.0,SDAN_0,sciRED_14,1616,19,18,0.47608121262689473,0.012384521338315455
cd8_BL,2.0,SDAN_0,sciRED_15,1616,19,18,0.43276317619246274,0.009747737117584523
cd8_BL,2.0,SDAN_0,sciRED_16,1616,19,18,0.442358503685162,0.01117947695393074
cd8_BL,2.0,SDAN_0,sciRED_17,1616,19,18,0.47674176053400086,0.01329537220512983
cd8_BL,2.0,SDAN_0,sciRED_18,1616,19,18,0.5102558753998053,0.018104783893849043
cd8_BL,2.0,SDAN_0,sciRED_19,1616,19,18,0.5500625782227785,0.018628566568859674
cd8_BL,2.0,SDAN_0,sciRED_20,1616,19,18,0.5204074537616465,0.014349137510988184
cd8_BL,2.0,SDAN_0,sciRED_21,1616,19,18,0.44889445139758033,0.009983818077229156
cd8_BL,2.0,SDAN_0,sciRED_22,1616,19,18,0.5616395494367961,0.013342487247413297
cd8_BL,2.0,SDAN_0,sciRED_23,1616,19,18,0.46234876929495206,0.01074249314950208
cd8_BL,2.0,SDAN_0,sciRED_24,1616,19,18,0.5158531497705465,0.02934013827704965
cd8_BL,2.0,SDAN_0,sciRED_25,1616,19,18,0.5260047281323876,0.015835284792801566
cd8_BL,2.0,SDAN_0,sciRED_26,1616,19,18,0.5040328188012794,0.020254243908658025
cd8_BL,2.0,SDAN_0,sciRED_27,1616,19,18,0.4709011264080101,0.012889474413897331
cd8_BL,2.0,SDAN_0,sciRED_28,1616,19,18,0.545473508552357,0.03366231677912957
cd8_BL,2.0,SDAN_0,sciRED_29,1616,19,18,0.6025935196773745,0.05403827981203518
cd8_BL,2.0,SDAN_0,sciRED_30,1616,19,18,0.5777360589625922,0.015235124916703825
cd8_BL,2.0,SDAN_0,sciRED_31,1616,19,18,0.6176818245028508,0.017248419722888916
cd8_BL,2.0,SDAN_0,sciRED_32,1616,19,18,0.5544778194965929,0.016230774146305256
cd8_BL,2.0,SDAN_0,sciRED_33,1616,19,18,0.4713878459185093,0.02197445020048488
