,Spectra_0,Spectra_1,Spectra_2,Spectra_3,Spectra_4,Spectra_5,Spectra_6,Spectra_7,Spectra_8,Spectra_9,Spectra_10,Spectra_11,Spectra_12,Spectra_13,Spectra_14,Spectra_15,Spectra_16,Spectra_17,Spectra_18,Spectra_19,Spectra_20,Spectra_21,Spectra_22,Spectra_23,Spectra_24,Spectra_25,Spectra_26,Spectra_27,Spectra_28,Spectra_29,Spectra_30,Spectra_31,Spectra_32,Spectra_33,Spectra_34,Spectra_35,Spectra_36,Spectra_37,Spectra_38,Spectra_39
A1BG,2.9511214764496736e-11,7.291512670800594e-11,1.2598562418356234e-09,6.058910557074067e-06,7.75014428243774e-08,8.91307674652621e-13,1.1902755802658158e-10,0.00033414296747401296,6.57414182135049e-07,1.7892791870352886e-12,0.0034306235361382525,1.7695360164778245e-09,0.0015837897078644079,1.1103340961331543e-12,0.2680365486839454,7.996511280167698e-08,5.837389466466526e-11,1.8069781010033012e-06,3.7863345295321537e-13,0.0037114833053626833,1.1356431390898811e-11,1.534144548365337e-05,0.0017354402171484511,0.07653905651239046,1.0527485127360561e-12,1.3448163976724003e-08,3.9133815297023725e-09,0.0016082988466695018,5.261062709706598e-12,4.593561604995225e-12,1.3150203433698988e-06,5.0910199210224005e-12,1.676056685194679e-12,0.1500640208709068,3.208510656081494e-11,1.0490575001992574e-12,2.8751829260818556e-07,4.4850482209560316e-10,0.002997414386937525,5.975121676021996e-11
AAK1,4.37833734907363e-11,0.0013463157601827595,2.9948214814847915e-05,0.00792349058026931,0.004504519412917141,3.1486115716794157e-06,0.0002673956136465748,0.0008027352109356609,5.783433566881211e-10,9.324620061443951e-07,0.0008290970741107483,0.0002948600773301851,0.005449377286615251,0.0008350031187410703,0.13282954096193111,0.00588705888120986,0.014581786865557611,0.024414844942646785,0.0009592879187104199,0.007063183784863594,4.3681026217630663e-07,3.273315051288832e-05,4.983423060673748e-07,0.012606938309803643,0.0020073344770256307,1.8164828541808982e-06,0.04221110278997841,3.6962523174882686e-07,2.057023053955022e-05,0.01009728131711493,0.005469737514800826,2.0644893995874322e-06,1.225178152331452e-05,3.4766746043679145e-12,0.001034096157058542,1.6725591637725053e-11,4.281182183226982e-08,0.012759761435638218,3.202093649851346e-06,0.05821786460899786
ABCA5,8.93529368376863e-14,2.902588351608109e-09,0.0012139169005676905,0.0013599815107044918,0.0006634287375022489,9.113017503442999e-15,0.000575486771791064,6.799345791046855e-06,4.096423432665482e-12,2.063088228131374e-14,1.6280840479326949e-12,3.5610187357550376e-15,6.399602540928893e-15,2.4783372847597215e-14,0.07109194256783956,0.0008286242488778601,4.5196214638611435e-09,8.741291044486027e-13,4.480002284794164e-06,6.338701581058119e-12,3.845159129435467e-13,1.848703164361892e-05,4.728162912778291e-14,0.03216202015199618,0.0007145540948197685,1.0634924042080335e-08,1.9361746662589652e-07,3.4017036339711126e-11,2.942926064679713e-10,7.266053460300049e-13,2.431096725267611e-12,1.670696182079043e-14,2.8341264955148497e-15,1.3259770649954978e-07,5.535176209188793e-15,8.225375885692522e-16,2.566591135697218e-07,0.0025396671772522517,0.00012624172683403716,0.021282712598798846
ABCA7,5.744827889678916e-13,6.391222453530577e-11,6.612527898057805e-11,0.0036577110001422396,0.0010706771813010153,1.543467208372518e-14,0.0009012533346572729,7.431089898529545e-06,4.5345503400490755e-09,2.854017993222865e-14,1.3240508714376758e-10,0.00020520412228510116,2.5704995028699148e-14,0.0004568179172296444,0.08052852682273554,0.0005030386345081933,0.005112554929838416,1.9436604989153938e-13,5.2474593376005184e-05,6.914504805343662e-10,2.586445259399456e-07,0.00019108619327854,8.905524758104813e-14,0.007813435842309363,0.0002084978079572728,6.538601757028975e-14,3.5199007876093097e-06,1.3370773238379426e-12,9.910048598588584e-12,0.00045800826493325853,1.7041507750555808e-08,5.551813492781548e-16,1.3311067082553013e-16,1.1068333574699281e-07,3.515370332601146e-16,3.0224134816052313e-17,1.9747045089876424e-07,3.4392517986193183e-09,1.3329274582222467e-06,0.00317837803619119
ABCB1,1.1521365937074678e-14,1.683727100705116e-12,1.5003044946932825e-13,6.849743161515291e-06,5.375427951772907e-05,2.431482028352191e-15,4.710965095553168e-12,3.1996947657177835e-07,2.0193415915264705e-14,4.3663326419667056e-15,0.0022393035356217937,1.821950550644157e-15,1.9566371284874857e-15,5.707951757992144e-15,0.017244468795607534,0.0018671544898229615,3.144278412683523e-12,6.718648218832129e-15,4.203389543831752e-05,2.3280925009215804e-12,2.7228271931263473e-14,4.9012186261562256e-05,3.0306163869308475e-09,0.0008552651301887216,3.6030185285401034e-15,4.253357413702438e-09,3.32529408163458e-08,7.677370256569534e-09,5.394247381992955e-14,1.573202184855901e-06,2.0523027278291462e-07,3.364713262378734e-14,1.7557677030958725e-14,0.029518501239504856,5.0793778131928844e-14,3.41035265865318e-15,4.47223953136394e-07,0.007466265741995313,0.00026408682818356954,0.03628691633797689
ABCB7,6.443409532599909e-11,0.011361714152102605,0.0056306067254533335,0.0010507846802718845,0.0011213373252071707,4.4609204618620215e-06,0.001696794565288833,2.162791989815862e-06,0.0031961509082587677,3.812604782645498e-06,7.358431009964977e-07,2.0092859488156294e-13,2.2759534641497362e-07,3.241674559533786e-11,0.011751419761965838,0.0006033253889149853,0.004854682526733507,3.2126462165370416e-11,8.589205852419767e-12,0.003358887867261011,0.020585928145031473,1.985692091880618e-05,9.756821647607978e-14,0.02336727945223542,3.937497939179388e-05,0.0003669313461897695,8.53618278959536e-05,2.641558310881403e-12,2.2630257124587873e-11,0.03549257914870803,0.0010646859386014712,6.303346216322633e-05,0.0008994045288000964,0.02507940058033125,0.011123400142554975,0.0003600209356280312,0.0009360326971018074,1.604101001168067e-11,0.0324507624216596,0.0035519003447598715
ABCB8,1.805487643635687e-13,0.006608050824897003,0.0060621769861626575,0.005484204921605141,0.0009597292454559846,4.77638796523794e-07,2.9111975501637335e-09,1.2493713693701933e-12,0.0026404148235286773,2.1627123868392911e-13,0.01055625216766169,6.171620072649132e-15,3.653832203696359e-07,7.5978607583292e-14,0.0044290037976326664,0.0012749547443462463,1.494611046276957e-09,1.2186822001568875e-13,7.931352020107229e-15,1.267696909050253e-05,6.726631859801976e-11,2.194606671188401e-06,2.16978019011871e-11,0.006298396958414148,6.055984779203588e-10,9.762406106045359e-09,0.02141045494098648,1.4630292748315925e-06,4.460872131334532e-09,9.545617335357923e-12,0.0020594208437649335,0.0013893351696115212,5.027402361596701e-13,0.013333641295560895,1.4729982120857017e-12,5.1317023961079536e-14,0.0005022000724843104,0.0247467169020466,4.6989166381642005e-05,5.35180619196984e-07
ABCC10,0.001743032211496512,1.7378350090736613e-09,8.053566251085904e-07,0.0012116262907787153,0.0009498127470371851,1.2602773630794494e-13,5.19738629873424e-08,2.1321368888933836e-05,7.398830283652053e-11,1.1775752730265886e-12,1.153114591465177e-09,3.137915105397076e-11,2.3853098082901886e-12,8.412940236469322e-05,0.05007429382662749,0.001437963903776186,3.7263258920253735e-08,1.05925638916177e-12,6.318607845443393e-08,7.526017661912563e-09,1.4041814808752123e-12,5.550652212044944e-07,1.5457727281003024e-12,0.08227374375610927,0.0015219569186682568,1.987126807849494e-11,8.378449669534705e-06,7.444856525380012e-14,1.3144124219531307e-12,1.1084842625607092e-07,9.734856159204195e-10,0.0002145158141321508,4.720408902302205e-13,8.56390847501508e-09,2.633802080830342e-12,1.9469607532182895e-13,0.0006148821276356985,0.014570522883032413,0.00948726148858195,0.01669467535110719
ABCC5,7.340342061712713e-14,1.3296631784912248e-10,5.188872217980886e-15,3.216308350531504e-06,0.0004000543507647237,1.5255562957998887e-15,2.0104531744497666e-11,2.6979341345306077e-06,2.723465263641076e-15,8.897086440763495e-15,1.67133221615007e-13,1.4612176578911083e-15,1.1961011626728495e-15,6.710776940984745e-15,0.03616434571124253,0.0007744339535174352,0.0034792695120403295,7.149241757542484e-15,5.203572675481656e-14,6.988290467199054e-12,1.4200223747873419e-08,5.741361581985785e-07,1.9179555161197796e-07,0.036178370867802116,7.484100632866887e-12,2.437509433853249e-08,8.412059415635264e-06,3.286787308893772e-12,0.01008756759023437,0.0047873893308974695,8.945750740049828e-06,0.002396570138774669,4.560641729242438e-13,1.075041490787585e-12,1.210475299889029e-09,2.2222202612924344e-14,1.8899075163705094e-05,1.62495578418251e-06,0.05080383187140064,0.00517462707017929
ABCD2,1.1767019103358524e-13,8.220512253989797e-08,0.002145354415060166,0.0026220284885102173,0.0010356442314697868,4.1967065982379365e-15,3.4421952952351856e-11,6.998723088159834e-06,1.3838241627008192e-11,7.083026247320418e-15,1.7956718949594633e-11,4.138862312969813e-06,5.396803530701303e-15,8.018469726655763e-15,0.113821078408554,7.357118370723428e-05,9.17692607838494e-08,1.5494732356668762e-14,2.0874755013413576e-14,1.1045573519684232e-10,2.40990389154265e-12,2.190927508005671e-07,7.780806873135122e-16,0.0009565067209678932,1.083163599755482e-14,1.727453967058644e-14,3.2478742230261783e-09,1.647699823508472e-11,1.3709575820284594e-12,7.83765419634476e-14,6.778705212348605e-08,7.422331082973328e-13,8.162755191401966e-14,1.1396298623714636e-11,2.9733669367808332e-12,7.948681411305465e-15,1.0330422352345022e-06,1.3768923781511968e-10,0.02114355568040519,1.068907143441847e-07
