cell_type,sdan_weight,program,factor,n_sdan_genes,n_spectra_genes,n_genes_overlap,n_program_genes_total,n_program_genes_overlap,auroc,average_precision,n_active_genes,n_internal_edges,avg_degree,connectivity_quantile,test_group_auroc,individual_level_auroc
CD8T,2.0,SDAN_1,Spectra_33,1259,1178,674,23,16,0.8132598784194528,0.32199741106064717,23,106,9.217391304347826,1.0,0.47496603538335125,0.7943876885896357
CD8T,2.0,SDAN_34,Spectra_13,1259,1178,674,26,5,0.9434977578475336,0.26360696517412935,26,0,0.0,0.0,0.47764113067869707,0.5063181164644133
CD8T,2.0,SDAN_21,Spectra_0,1259,1178,674,24,15,0.7237228123419321,0.20198207714121813,24,34,2.8333333333333335,1.0,0.5015121553209845,0.5789369523088698
CD8T,2.0,SDAN_14,Spectra_33,1259,1178,674,23,16,0.7090615501519757,0.1793078821260051,23,18,1.565217391304348,0.996,0.5403461790678303,0.5929978095686074
CD8T,2.0,SDAN_19,Spectra_39,1259,1178,674,26,6,0.4341317365269461,0.17408068541665933,26,0,0.0,0.0,0.4833293076911648,0.5753013258961269
CD8T,2.0,SDAN_29,Spectra_13,1259,1178,674,26,9,0.7316624895572265,0.1554199526409114,26,0,0.0,0.0,0.5017324867827684,0.5025066814486918
CD8T,2.0,SDAN_30,Spectra_18,1259,1178,674,25,13,0.8726870708716398,0.15454895626844803,25,4,0.32,0.641,0.531134784239343,0.5899537917360129
CD8T,2.0,SDAN_31,Spectra_5,1259,1178,674,24,15,0.45655032878098134,0.15209037117458038,24,22,1.8333333333333333,0.997,0.4274594225022696,0.47614183148757894
CD8T,2.0,SDAN_4,Spectra_1,1259,1178,674,25,16,0.5621200607902734,0.15053831263947653,25,16,1.28,0.993,0.5036921857302059,0.40062896894930805
CD8T,2.0,SDAN_25,Spectra_21,1259,1178,674,25,11,0.6329356917592212,0.1499477578491186,25,6,0.48,0.822,0.4678932237235865,0.6269903599254325
CD8T,2.0,SDAN_10,Spectra_39,1259,1178,674,25,9,0.5077694235588972,0.142413541851164,25,4,0.32,0.644,0.5245141567454361,0.40526475837296455
CD8T,2.0,SDAN_7,Spectra_11,1259,1178,674,25,14,0.611038961038961,0.1412383780800265,25,12,0.96,0.97,0.41480044980683806,0.52411523272584
CD8T,2.0,SDAN_9,Spectra_26,1259,1178,674,25,8,0.5078828828828829,0.1369453782394105,25,6,0.48,0.817,0.5665433928407512,0.4447465457898545
