model,,feature,coef
logreg,0,SDAN_0,-0.013893664061097752
logreg,1,SDAN_1,-0.05930958520284771
logreg,2,SDAN_2,0.040856782812029556
logreg,3,SDAN_3,-0.016871231812547623
logreg,4,SDAN_4,0.012336342889672692
logreg,5,SDAN_5,-0.0002124712894554767
logreg,6,SDAN_6,0.0223854633585798
logreg,7,SDAN_7,0.030981552855177077
logreg,8,SDAN_8,-0.030042571011009774
logreg,9,SDAN_9,-0.006656775005128029
logreg,10,SDAN_10,-0.015472527239164884
logreg,11,SDAN_11,-0.05485915920545551
logreg,12,SDAN_12,-0.0195243218487299
logreg,13,SDAN_13,0.02078173597208269
logreg,14,SDAN_14,-0.0017871889705523567
logreg,15,SDAN_15,0.05250477577553431
logreg,16,SDAN_16,-0.10969173776501405
logreg,17,SDAN_17,-0.020714595292485868
logreg,18,SDAN_18,0.02229125869202824
logreg,19,SDAN_19,0.04366011897820591
logreg,20,SDAN_20,0.16088824063892268
logreg,21,SDAN_21,-0.008526733901023063
logreg,22,SDAN_22,0.011061003795497496
logreg,23,SDAN_23,0.03361578775112226
logreg,24,SDAN_24,-0.041315088137954085
logreg,25,SDAN_25,-0.0431198865262092
logreg,26,SDAN_26,-0.04340142558513261
logreg,27,SDAN_27,-0.03806248899038874
logreg,28,SDAN_28,0.06381314077775234
logreg,29,SDAN_29,-0.020058657247591
logreg,30,SDAN_30,0.017877552039330412
logreg,31,SDAN_31,0.003199961640911636
logreg,32,SDAN_32,-0.14100724249166208
logreg,33,SDAN_33,-0.029881723060807077
logreg,34,SDAN_34,-0.012227417452365448
logreg,35,SDAN_35,0.003569205961735458
logreg,36,SDAN_36,-0.004802991887882834
logreg,37,SDAN_37,0.03455834781358794
logreg,38,SDAN_38,0.0057116377955946035
logreg,39,SDAN_39,0.04191831930247277
