model,,feature,coef
logreg,0,SDAN_0,-0.009929892007657827
logreg,1,SDAN_1,0.06181630089970261
logreg,2,SDAN_2,0.2502905328835278
logreg,3,SDAN_3,0.002525463722358743
logreg,4,SDAN_4,-0.04960932584013419
logreg,5,SDAN_5,-0.03950723109170008
logreg,6,SDAN_6,-0.058120283200989574
logreg,7,SDAN_7,0.29575440522452195
logreg,8,SDAN_8,-0.013495705929865006
logreg,9,SDAN_9,0.0784357497051178
logreg,10,SDAN_10,0.06978045455856699
logreg,11,SDAN_11,0.02502232406531411
logreg,12,SDAN_12,-0.04314614146361276
logreg,13,SDAN_13,0.04454563812414976
logreg,14,SDAN_14,0.0007615271763782172
logreg,15,SDAN_15,-0.06262583056933305
logreg,16,SDAN_16,-0.013983894512259492
logreg,17,SDAN_17,-0.16001755476135354
logreg,18,SDAN_18,0.05102570339870117
logreg,19,SDAN_19,0.0014240850514955215
logreg,20,SDAN_20,-0.01734757461650296
logreg,21,SDAN_21,-0.026206555187601486
logreg,22,SDAN_22,-0.2041653263215796
logreg,23,SDAN_23,-0.10176514360621038
logreg,24,SDAN_24,0.033859946685400405
logreg,25,SDAN_25,0.053072444886347554
logreg,26,SDAN_26,0.003249839349360308
logreg,27,SDAN_27,0.1318869733011107
logreg,28,SDAN_28,-0.03608225377947156
logreg,29,SDAN_29,-0.10854021151641881
logreg,30,SDAN_30,-0.01308089127630867
logreg,31,SDAN_31,0.047534787297037015
logreg,32,SDAN_32,0.019160817604973936
logreg,33,SDAN_33,0.01437170984556407
logreg,34,SDAN_34,-0.06597167402285153
logreg,35,SDAN_35,0.021326081699406963
logreg,36,SDAN_36,0.04871328790186185
logreg,37,SDAN_37,-0.0025478406804651838
logreg,38,SDAN_38,0.009805005322481113
logreg,39,SDAN_39,-0.07316289866906117
