model,,feature,coef
logreg,0,SDAN_0,-0.683183100132845
logreg,1,SDAN_1,0.6543189463637404
logreg,2,SDAN_2,-1.9067333976212124
logreg,3,SDAN_3,-0.2908775775045683
logreg,4,SDAN_4,-0.7378094271356728
logreg,5,SDAN_5,-0.08576488035919773
logreg,6,SDAN_6,1.437485000208347
logreg,7,SDAN_7,-0.42355136447363356
logreg,8,SDAN_8,0.1924407246910106
logreg,9,SDAN_9,-0.5047600024943889
logreg,10,SDAN_10,2.0197352579988377
logreg,11,SDAN_11,-1.2923865743140805
logreg,12,SDAN_12,-0.0157613337425783
logreg,13,SDAN_13,1.8267397632720637
logreg,14,SDAN_14,-0.6306251284225738
logreg,15,SDAN_15,-0.9840119900548916
logreg,16,SDAN_16,-0.8633255997934259
logreg,17,SDAN_17,0.8307333979598142
logreg,18,SDAN_18,1.2481206072217772
logreg,19,SDAN_19,-1.8693610089358308
logreg,20,SDAN_20,0.5093781116716946
logreg,21,SDAN_21,-0.7501696012029639
logreg,22,SDAN_22,1.0941977326820587
logreg,23,SDAN_23,0.2194944169255133
logreg,24,SDAN_24,-0.14326774202020467
logreg,25,SDAN_25,-0.922321845014376
logreg,26,SDAN_26,-1.089824903418709
logreg,27,SDAN_27,1.362480947807522
logreg,28,SDAN_28,1.4829088206509404
logreg,29,SDAN_29,-0.8847341199851765
logreg,30,SDAN_30,0.25076003459703283
logreg,31,SDAN_31,-0.14426963463256898
logreg,32,SDAN_32,0.02558515470776664
logreg,33,SDAN_33,-0.7627589492568184
logreg,34,SDAN_34,0.729760859701938
logreg,35,SDAN_35,-0.3114099426746116
logreg,36,SDAN_36,0.837220544047229
logreg,37,SDAN_37,-0.691969369089773
logreg,38,SDAN_38,1.0196176567625281
logreg,39,SDAN_39,0.7224463469825052
