model,,feature,coef
logreg,0,sciRED_0,0.04416065741969753
logreg,1,sciRED_1,0.06402529769919345
logreg,2,sciRED_2,-0.04410516240958804
logreg,3,sciRED_3,-0.049462892462364426
logreg,4,sciRED_4,0.014260178090503235
logreg,5,sciRED_5,-0.04275065925764056
logreg,6,sciRED_6,-0.2638499248416868
logreg,7,sciRED_7,-0.01582941429106901
logreg,8,sciRED_8,-0.16567547074238095
logreg,9,sciRED_9,-0.11114932269824628
logreg,10,sciRED_10,-0.0597812833672548
logreg,11,sciRED_11,-0.18878715442096158
logreg,12,sciRED_12,0.19459715767562905
logreg,13,sciRED_13,-0.20587596910644615
logreg,14,sciRED_14,-0.16948386646237973
logreg,15,sciRED_15,-0.2480421960958209
logreg,16,sciRED_16,-0.023301289645735173
logreg,17,sciRED_17,-0.03031613633752975
logreg,18,sciRED_18,0.0958313398811782
logreg,19,sciRED_19,-0.09503099535399767
logreg,20,sciRED_20,-0.04137999640036807
logreg,21,sciRED_21,0.035338079270455194
logreg,22,sciRED_22,-0.038867560871126236
logreg,23,sciRED_23,-0.02243665970618084
logreg,24,sciRED_24,-0.01654439292821038
logreg,25,sciRED_25,0.14283333329471545
logreg,26,sciRED_26,-0.001462593582169735
logreg,27,sciRED_27,-0.02150703268464269
logreg,28,sciRED_28,0.028050399927777026
logreg,29,sciRED_29,-0.002785832957747885
logreg,30,sciRED_30,-0.09402096678389214
logreg,31,sciRED_31,-0.07405851496895026
logreg,32,sciRED_32,-0.060966357209611896
logreg,33,sciRED_33,-0.02505580546925016
logreg,34,sciRED_34,-0.04198540725337455
logreg,35,sciRED_35,0.032056185086162
logreg,36,sciRED_36,0.05109934205886226
logreg,37,sciRED_37,0.033248291212396065
logreg,38,sciRED_38,-0.015256342228789046
logreg,39,sciRED_39,-0.07493234595503717
