gene_ids,feature_is_filtered,feature_name,feature_reference,feature_biotype,n_cells_by_counts,mean_counts,pct_dropout_by_counts,total_counts,pval_without_sv,pval_with_sv,pval_rd_only
ENSG00000000003,FALSE,TSPAN6,NCBITaxon:9606,gene,6900,0.11869902,90.1441243268723,8310,0.0127373652280561,0.040443635999886,0.00514314025071158
ENSG00000000419,FALSE,DPM1,NCBITaxon:9606,gene,22723,0.46582583,67.542744504278,32612,0.763419417522197,0.975368453760888,0.760459783008863
ENSG00000000457,FALSE,SCYL3,NCBITaxon:9606,gene,14556,0.27685013,79.2083874930366,19382,0.105216335502233,0.101338697720663,0.0672156866612983
ENSG00000000460,FALSE,C1orf112,NCBITaxon:9606,gene,7990,0.16050793,88.5871816480738,11237,0.129334688820902,0.271576095258855,0.0288453916777112
ENSG00000001036,FALSE,FUCA2,NCBITaxon:9606,gene,5651,0.091788195,91.9281806624863,6426,0.0231552531678996,0.0731428582979497,0.0050668591237047
ENSG00000001084,FALSE,GCLC,NCBITaxon:9606,gene,33020,0.9351941,52.8346355468583,65472,0.974666993397308,0.9721351048178,0.997190205991981
ENSG00000001167,FALSE,NFYA,NCBITaxon:9606,gene,9264,0.16433601,86.767415617992,11505,0.308051926001592,0.128056850879103,0.343606031778186
ENSG00000001460,FALSE,STPG1,NCBITaxon:9606,gene,8257,0.15476581,88.2058021111572,10835,0.201887001468731,0.202091232619242,0.29336455294215
ENSG00000001461,FALSE,NIPAL3,NCBITaxon:9606,gene,13671,0.28712022,80.4725106771987,20101,0.00144847133692771,0.00641563011880779,0.000366367663800108
ENSG00000001497,FALSE,LAS1L,NCBITaxon:9606,gene,9939,0.16192204,85.8032538673599,11336,0.0103837244674385,0.0195552371076564,0.0055625077164723
ENSG00000001561,FALSE,ENPP4,NCBITaxon:9606,gene,13633,0.25113913,80.5267894127898,17582,0.307848698202646,0.417203543118887,0.0180086036831045
ENSG00000001629,FALSE,ANKIB1,NCBITaxon:9606,gene,47794,1.8473196,31.7316345041352,129329,0.652667282433666,0.576248965854671,0.439832124760887
ENSG00000001630,FALSE,CYP51A1,NCBITaxon:9606,gene,13938,0.2672228,80.091131140282,18708,0.0308474577638886,0.0555867543214865,0.00741779573388255
ENSG00000001631,FALSE,KRIT1,NCBITaxon:9606,gene,29245,0.67428476,58.2267994115042,47206,0.947378730773587,0.825111602389588,0.714231459217475
ENSG00000002016,FALSE,RAD52,NCBITaxon:9606,gene,26385,0.56716996,62.3119884586268,39707,0.501495016221671,0.681479788020551,0.785361722623204
ENSG00000002330,FALSE,BAD,NCBITaxon:9606,gene,4882,0.07597595,93.0266108643174,5319,0.158665654146602,0.170503311459372,0.0133645288647002
ENSG00000002549,FALSE,LAP3,NCBITaxon:9606,gene,13938,0.26069504,80.091131140282,18251,0.084233670934497,0.168777067766018,0.058267488789509
ENSG00000002586,FALSE,CD99,NCBITaxon:9606,gene,25672,0.6346041,63.33042894485,44428,0.198500034454049,0.212391365646893,0.841789932665679
ENSG00000002746,FALSE,HECW1,NCBITaxon:9606,gene,15885,0.28930566,77.3100601351255,20254,0.703702044473952,0.863643643712764,0.914603793136518
ENSG00000002822,FALSE,MAD1L1,NCBITaxon:9606,gene,22385,0.4726535,68.0255395734834,33090,0.0012468961651617,0.0038959886546095,0.000309841231009341
ENSG00000002834,FALSE,LASP1,NCBITaxon:9606,gene,19398,0.3831793,72.2921338685026,26826,4.26081694458629e-05,0.000159252621640563,2.36224821065622e-06
ENSG00000002919,FALSE,SNX11,NCBITaxon:9606,gene,3866,0.059949435,94.477852847491,4197,0.239684510641434,0.505807871567152,0.160618175726533
ENSG00000002933,FALSE,TMEM176A,NCBITaxon:9606,gene,2888,0.04497993,95.8748160950735,3149,0.875885956860934,0.962058669593483,0.966795205519402
ENSG00000003056,FALSE,M6PR,NCBITaxon:9606,gene,12210,0.21045865,82.5593852219001,14734,0.00409805068442883,0.0154476926505396,0.00201099850112317
ENSG00000003096,FALSE,KLHL13,NCBITaxon:9606,gene,9035,0.2661658,87.0945164193175,18634,2.47244828301136e-05,4.04385791959519e-05,5.78705910636803e-07
ENSG00000003147,FALSE,ICA1,NCBITaxon:9606,gene,4787,0.07559028,93.1623077032953,5292,0.0179096913000079,0.0512056908877839,0.0600109377464048
ENSG00000003249,FALSE,DBNDD1,NCBITaxon:9606,gene,3208,0.04990787,95.417732005885,3494,0.000390470213849087,0.000624976617753003,6.22328922334239e-05
ENSG00000003393,FALSE,ALS2,NCBITaxon:9606,gene,22166,0.47566742,68.3383564970218,33301,0.318969729614012,0.309887848174731,0.604865473364549
ENSG00000003400,FALSE,CASP10,NCBITaxon:9606,gene,1581,0.025796684,97.7417189218529,1806,0.0316857562728854,0.0162358454880796,0.00628571738444805
ENSG00000003402,FALSE,CFLAR,NCBITaxon:9606,gene,36931,1.0043851,47.2482109443072,70316,0.00380814369825736,0.00971556296175993,0.00042339133025642
ENSG00000003509,FALSE,NDUFAF7,NCBITaxon:9606,gene,10308,0.17957692,85.2761787770144,12572,0.211991187682501,0.183420125097593,0.131088254176542
ENSG00000003756,FALSE,RBM5,NCBITaxon:9606,gene,40845,1.1197418,41.6575011784199,78392,0.299080915550199,0.150201473650179,0.33211085438185
ENSG00000003987,FALSE,MTMR7,NCBITaxon:9606,gene,5049,0.08143239,92.7880701052722,5701,0.12208738007435,0.259113404428383,0.195089649090572
ENSG00000003989,FALSE,SLC7A2,NCBITaxon:9606,gene,45245,2.1369824,35.3725949520776,149608,0.000150769267329181,0.000619535499028558,3.06149547566295e-06
ENSG00000004059,FALSE,ARF5,NCBITaxon:9606,gene,3146,0.047022525,95.5062920481652,3292,0.0285814376243894,0.11255380642807,0.0147425856605596
ENSG00000004139,FALSE,SARM1,NCBITaxon:9606,gene,17745,0.33264294,74.6532588667171,23288,0.0756383050848868,0.0480397901247742,0.0921633017547829
ENSG00000004142,FALSE,POLDIP2,NCBITaxon:9606,gene,8123,0.1301547,88.3972060735048,9112,0.0684298012745862,0.0630409147617471,0.0598917139650459
ENSG00000004399,FALSE,PLXND1,NCBITaxon:9606,gene,12100,0.21495807,82.7165078775586,15049,0.0475784382719101,0.0686966089940207,0.0055049121653138
ENSG00000004455,FALSE,AK2,NCBITaxon:9606,gene,15210,0.2725364,78.2742218857575,19080,0.73854497093865,0.990685203651155,0.443230963349451
ENSG00000004468,FALSE,CD38,NCBITaxon:9606,gene,18743,0.5195903,73.2277278635604,36376,0.00889586826318738,0.00739150271058661,0.00038889647892361
ENSG00000004478,FALSE,FKBP4,NCBITaxon:9606,gene,8269,0.14048193,88.1886614578126,9835,0.52350668362248,0.599647729004332,0.989487384002887
ENSG00000004487,FALSE,KDM1A,NCBITaxon:9606,gene,25425,0.56716996,63.6832407261924,39707,0.0227655728291518,0.0263850341921761,0.0148299064140932
ENSG00000004534,FALSE,RBM6,NCBITaxon:9606,gene,61148,3.3727663,12.6569441071862,236124,0.00398094422359783,0.00647128781687041,0.000919289959616221
ENSG00000004660,FALSE,CAMKK1,NCBITaxon:9606,gene,12992,0.2481538,81.4423859789456,17373,0.990182851572779,0.898288878868403,0.545736412161244
ENSG00000004700,FALSE,RECQL,NCBITaxon:9606,gene,6371,0.109971575,90.8997414618121,7699,0.0203529275086826,0.0361159398379697,0.00942293999374907
ENSG00000004766,FALSE,VPS50,NCBITaxon:9606,gene,32038,0.89929867,54.2373123455556,62959,0.204218167168414,0.480782615442666,0.102814912378716
ENSG00000004777,FALSE,ARHGAP33,NCBITaxon:9606,gene,6240,0.096659005,91.0868602608236,6767,0.151768215344729,0.277637739290868,0.180889093058308
ENSG00000004779,FALSE,NDUFAB1,NCBITaxon:9606,gene,8854,0.14518133,87.3530546072648,10164,0.0677915415260063,0.0738542144842126,0.0193808313696431
ENSG00000004799,FALSE,PDK4,NCBITaxon:9606,gene,33472,1.4604837,52.1890042708795,102247,0.381755150363752,0.530411613346126,0.408527484540363
ENSG00000004848,FALSE,ARX,NCBITaxon:9606,gene,10196,0.18413347,85.4361582082304,12891,0.289616779900769,0.437757043965703,0.124442283839333
ENSG00000004864,FALSE,SLC25A13,NCBITaxon:9606,gene,39624,1.294905,43.4015626562299,90655,0.508135398983964,0.565721076037551,0.477252156100353
ENSG00000004866,FALSE,ST7,NCBITaxon:9606,gene,33087,0.9619763,52.7389335656844,67347,0.969257084878353,0.765066252383157,0.879162254822377
ENSG00000004897,FALSE,CDC27,NCBITaxon:9606,gene,38580,1.0741476,44.8927994972075,75200,0.00877977495289768,0.027992528428989,0.00178133327483307
ENSG00000004961,FALSE,HCCS,NCBITaxon:9606,gene,1745,0.026353754,97.5074633261438,1845,0.56552805238146,0.573403846030687,0.200728773916557
ENSG00000004975,FALSE,DVL2,NCBITaxon:9606,gene,8267,0.1309546,88.19151823337,9168,0.6438531251717,0.47003535378836,0.555959248129453
ENSG00000005007,FALSE,UPF1,NCBITaxon:9606,gene,11051,0.18390493,84.2148866574298,12875,0.68809073728908,0.795320690393457,0.284832206746298
ENSG00000005020,FALSE,SKAP2,NCBITaxon:9606,gene,8946,0.21775772,87.2216429316231,15245,0.609106026302491,0.564990631406646,0.77310688526797
ENSG00000005022,FALSE,SLC25A5,NCBITaxon:9606,gene,7012,0.11861332,89.9841448956563,8304,0.000387640421196313,0.00259786922770639,0.000146327061033904
ENSG00000005059,FALSE,MCUB,NCBITaxon:9606,gene,4508,0.098101676,93.5608278935565,6868,0.0185907988776643,0.0104836925158357,0.100948168564854
ENSG00000005075,FALSE,POLR2J,NCBITaxon:9606,gene,7354,0.12306989,89.4956362753361,8616,0.0359097056968022,0.0627480922394994,0.0165994716522892
ENSG00000005100,FALSE,DHX33,NCBITaxon:9606,gene,7400,0.122498535,89.4299304375152,8576,0.498760465120939,0.571288207992461,0.399303678095977
ENSG00000005108,FALSE,THSD7A,NCBITaxon:9606,gene,51095,2.716465,27.0165264465997,190177,0.343643505432833,0.251374465910678,0.490044759429827
ENSG00000005156,FALSE,LIG3,NCBITaxon:9606,gene,7726,0.12445543,88.9642760216544,8713,0.0718644115445583,0.0879323942241101,0.0957913134808032
ENSG00000005175,FALSE,RPAP3,NCBITaxon:9606,gene,14363,0.2724221,79.4840663343285,19072,0.556154206959406,0.282722774169551,0.97087569900777
ENSG00000005187,FALSE,ACSM3,NCBITaxon:9606,gene,1641,0.025882386,97.6560156551301,1812,0.0627780990256332,0.154153124217181,0.0182985519400229
ENSG00000005189,FALSE,REXO5,NCBITaxon:9606,gene,3001,0.04999357,95.7134082760788,3500,0.800904204590247,0.459532201732242,0.743633704222519
ENSG00000005194,FALSE,CIAPIN1,NCBITaxon:9606,gene,9305,0.15659416,86.7088517190647,10963,0.0647509637344423,0.0844460239659425,0.0685067988794385
ENSG00000005206,FALSE,SPPL2B,NCBITaxon:9606,gene,31189,0.6836264,55.4500135696839,47860,0.102122192975467,0.0555261647425681,0.105278991725415
ENSG00000005238,FALSE,FAM214B,NCBITaxon:9606,gene,11914,0.20264538,82.9821880043994,14187,0.563021240417199,0.686673610631958,0.527656997768402
ENSG00000005243,FALSE,COPZ2,NCBITaxon:9606,gene,5890,0.09430216,91.5867959833736,6602,0.0273117604108428,0.0365098361860971,0.0274844036417239
ENSG00000005249,FALSE,PRKAR2B,NCBITaxon:9606,gene,13200,0.27906412,81.145281320973,19537,0.166333014453934,0.175437326388343,0.0961867298340579
ENSG00000005302,FALSE,MSL3,NCBITaxon:9606,gene,4984,0.07910412,92.8809153108886,5538,0.131045489300852,0.115537493361762,0.168399157525535
ENSG00000005339,FALSE,CREBBP,NCBITaxon:9606,gene,54066,2.2588239,22.7727863560399,158138,0.00130519560261602,0.00393622819577258,0.000118359435371401
ENSG00000005379,FALSE,TSPOAP1,NCBITaxon:9606,gene,30013,0.6781842,57.1297975974518,47479,0.023695232842535,0.0541441003405312,0.00400752084838696
ENSG00000005421,FALSE,PON1,NCBITaxon:9606,gene,3834,0.07143367,94.5235612564099,5001,0.00337511103349703,0.00393405163682253,0.00383984109310638
ENSG00000005436,FALSE,GCFC2,NCBITaxon:9606,gene,27530,0.66125786,60.676484451999,46294,0.0679395253798691,0.1240479940603,0.0159584130103891
ENSG00000005469,FALSE,CROT,NCBITaxon:9606,gene,13061,0.26125214,81.3438272222143,18290,0.0363925246011018,0.0654880248833573,0.00815434038745458
ENSG00000005483,FALSE,KMT2E,NCBITaxon:9606,gene,51740,2.051522,26.0952163293291,143625,0.506203500372539,0.510166258506097,0.373481907802751
ENSG00000005486,FALSE,RHBDD2,NCBITaxon:9606,gene,12437,0.20870174,82.2351411961319,14611,0.258953725092707,0.482937177517555,0.00695464725696456
ENSG00000005513,FALSE,SOX8,NCBITaxon:9606,gene,4190,0.0668914,94.0150552071876,4683,0.80877246028549,0.52886590444815,0.0655304228121841
ENSG00000005700,FALSE,IBTK,NCBITaxon:9606,gene,33817,0.8957134,51.6962104872231,62708,0.783459979944625,0.914239559988777,0.810160501342437
ENSG00000005801,FALSE,ZNF195,NCBITaxon:9606,gene,14198,0.26095217,79.7197503178163,18269,0.733380981737238,0.437383834658931,0.667324194491736
ENSG00000005810,FALSE,MYCBP2,NCBITaxon:9606,gene,55426,2.5114057,20.8301789769887,175821,0.248989817539965,0.201316504175579,0.357820743872013
ENSG00000005812,FALSE,FBXL3,NCBITaxon:9606,gene,21614,0.443443,69.126826550872,31045,0.0745517754806764,0.119226176868616,0.0414870570173096
