gene,pval_given_therapy,pval_response
DPM1,0.553024106622063,0.289340642777475
SCYL3,0.0680462265237287,0.0596910489859044
C1orf112,0.0192657216626814,0.0354357566885329
FGR,0.319209879665741,0.227547347557434
CFH,0.952888833490406,0.709335382375323
FUCA2,0.160164415638096,0.198244417807469
GCLC,0.965923471717734,0.913005943741171
NFYA,0.996839433581561,0.578209166909544
STPG1,0.226977603956864,0.102919879392808
NIPAL3,0.963131541649614,0.785452545069447
LAS1L,0.257153761647221,0.395337453471868
ENPP4,0.748021870040362,0.95687914698976
ANKIB1,0.529921034444564,0.43368890946865
CYP51A1,0.942881211327252,0.567638242946407
KRIT1,0.961327148179772,0.62443967359182
RAD52,0.637925311564103,0.784829170290401
BAD,0.0248223377195971,0.0237356402800402
LAP3,0.0225283514303516,0.0209036936758796
CD99,0.475373200488723,0.823193847883665
MAD1L1,0.635659929641534,0.800773827174834
LASP1,0.000243756792443709,7.13174719083374e-05
SNX11,0.876359685431689,0.806069164603858
M6PR,0.0175657400848766,0.0348596449777164
ICA1,0.0556265509700032,0.0394688849215175
ALS2,0.998524007890247,0.978541360115981
CASP10,0.730487405070173,0.54286405291491
CFLAR,0.644312917549572,0.428039309637375
NDUFAF7,0.211104901417248,0.120108216887242
RBM5,0.00713420018835936,0.00632388871116994
MTMR7,0.171137970297319,0.236187163171051
ARF5,0.00729559686919176,0.00461042251378585
SARM1,0.926146059577671,0.87401093686707
POLDIP2,0.00411156336227588,0.0187556613474964
PLXND1,0.0223827272271925,0.0548418011474641
AK2,0.000444028466250581,0.000585491663072617
CD38,6.55020225040902e-06,8.03873394516141e-06
FKBP4,0.419687714037011,0.598421988187722
KDM1A,0.526950637224677,0.639777488595957
RBM6,0.228119805367987,0.798463365291316
CAMKK1,0.44960558503179,0.303581172768746
RECQL,0.153563243458356,0.13431374194494
CCDC132,0.927863384353103,0.591982666022738
ARHGAP33,0.00256169977984454,0.00122976237060881
NDUFAB1,0.000636145372106893,0.00173721895358669
ZMYND10,0.312720367523824,0.233722091789446
SLC25A13,0.610663200084466,0.349285150920729
ST7,0.666642261527537,0.366066098542025
CDC27,0.180079245323034,0.253396834377408
HCCS,0.117359261256812,0.20413085020918
DVL2,0.238597028125784,0.14458399021273
UPF1,0.088434895777531,0.462164334671427
SKAP2,0.528598092666896,0.890341514326563
SLC25A5,0.0322691716583014,0.0118091393337346
CCDC109B,2.89174650712694e-05,1.1815011127321e-05
POLR2J,0.0155886333485336,0.0195129892536839
DHX33,0.728031729288816,0.824730914433338
MEOX1,0.275323193343902,0.115053761561974
LIG3,0.0628004382954795,0.236954958850708
RPAP3,0.832891040590747,0.692052362330573
ACSM3,0.694325255235612,0.285066298529301
AC004381.6,0.13282578376369,0.231802151824673
CIAPIN1,0.0288939938107073,0.143533092348351
SPPL2B,0.976665912197451,0.549841768101376
FAM214B,0.284754923246342,0.121475150939267
MSL3,0.185161674773535,0.0608205780680121
CREBBP,0.0759724750039307,0.0600034519654359
BZRAP1,0.0461002225429769,0.0157427200326504
GCFC2,0.473809422119429,0.667291527449435
WDR54,0.0155292205748948,0.0154477336737708
CROT,0.374348436474537,0.652457049705137
KMT2E,0.000161029910519017,0.00410864928641948
RHBDD2,0.379167107275433,0.367411516339038
IBTK,0.0625555699210436,0.124592301111167
ZNF195,0.425472770520657,0.327524562655581
MYCBP2,0.0404022029988939,0.0320318953873876
FBXL3,0.248805891530016,0.229370571730991
ITGAL,0.919857204824417,0.704991040037121
PDK2,0.0981396168539785,0.0858158289535998
ITGA3,0.0738517438279084,0.0960542764957134
ZFX,0.462534113691289,0.672978109389639
LAMP2,0.000345662950207154,0.000349722997429969
GGNBP2,0.0595362277652037,0.0573300414786642
GDE1,0.00211894014289362,0.0073583475544038
C19orf60,0.733316547530168,0.696549053722172
CRLF1,0.895528141355455,0.853105294862826
OSBPL7,0.499179976360743,0.389070326018031
MAP3K14,0.206768078504299,0.291512222324727
CCL3,0.00250745429345271,0.00235714429353649
SYNRG,0.278445459527059,0.282719706380607
AP2B1,0.0808973309380916,0.0662850823740214
ZNF263,0.0449199466816509,0.0881949844038509
SPATA20,0.27028037179885,0.308527103436817
TNFRSF12A,0.983225933389469,0.808273266689979
MAP3K9,0.395588503021178,0.9803440754674
RALA,0.0900829542909832,0.117846581648821
BAIAP2L1,0.336298632038941,0.315870463846533
JHDM1D,0.0498798022808701,0.0211667357873872
ETV1,0.266876630294691,0.248884082792762
AGK,0.489115246378484,0.458144147418315
TTC22,0.0154026741894278,0.00224260603115154
PHTF2,0.42420081072633,0.535583614394049
FARP2,0.560834483453618,0.610970488577867
GGCT,0.00156250949044761,0.00552303742278265
DBF4,0.350475043308156,0.211966500598393
IFRD1,0.0168489775609709,0.033317642456864
COX10,0.19896620639967,0.458576883784613
PAF1,0.606537957679172,0.562663024827926
VPS41,0.716313956695648,0.378277735820366
ARHGAP44,0.971294424648466,0.696526099721992
ELAC2,0.212511065594815,0.429118401472175
ARSD,0.909749486813227,0.807458722774971
PNPLA4,0.306955916845528,0.189599673422888
ADIPOR2,0.694443335259231,0.502407243600548
CDKL3,0.788051055872214,0.836264266746376
PRSS21,0.0505449230120096,0.195146646446041
MARK4,0.736914044865276,0.624560870150489
CCDC124,0.0173005743967908,0.0220376662969037
CEACAM21,0.0888364819416391,0.155747547838859
PAFAH1B1,0.710179775177115,0.931295204495732
DNAH9,0.864214330273844,0.849666039289935
KIAA0100,0.270771390224644,0.787181806536245
GAS7,0.505168730173159,0.688959187996697
TRAPPC6A,0.0670156656369083,0.0577358905325789
MATK,0.586105010785772,0.865125773721568
CD79B,0.261911960240595,0.195676752809741
ST7L,0.365876480324529,0.18757279974375
TKTL1,0.20198507527635,0.307254972628775
PAX6,0.504204098883568,0.27038931655739
RPUSD1,0.828253268482107,0.742714983839989
LUC7L,0.00815515093687154,0.00249315459501274
CACNA2D2,0.2990073248533,0.448155037221794
BAIAP3,0.0173846375113803,0.0119495834151799
TSR3,0.117821142694141,0.111214083810665
PIGQ,0.941233423083393,0.749784557018154
CRAMP1L,0.382950339677663,0.401118521534048
DNAJC11,0.343434300678293,0.254302647917034
MYLIP,0.22901212765052,0.0665087575962167
E2F2,0.0278095742904256,0.0366885064199021
PSMB1,0.00388570066245024,0.00297434621720271
JARID2,0.769037638042133,0.892250813017871
CDK11A,0.20017048438936,0.269176845251921
NADK,0.041085919140219,0.034643761728428
DLEC1,0.782243160902904,0.812443135176594
CYTH3,0.484810677429783,0.510532831382402
ADAM22,0.222976332075743,0.244218411532291
SYPL1,0.184093601482272,0.0917797730992155
CYB561,0.784193128445607,0.844228344069834
SPAG9,0.520824733907172,0.45132674457874
CELSR3,0.0762741429936781,0.126759120226069
AASS,0.0108951946616941,0.0159045605123325
PLEKHG6,0.707902763991212,0.552252507182102
SS18L2,0.205460471238663,0.302884278305687
MPND,0.207404404876257,0.19440622146401
CRY1,0.0251778416741815,0.0139141310812954
ST3GAL1,0.544630507660907,0.337731098988449
MMP25,0.148134810028601,0.324338611718014
IL32,0.967823472268999,0.574304339761271
PKD1,0.236734895360352,0.133327394284834
MED24,0.509675700630783,0.525672055194968
RHOBTB2,0.873331332896669,0.542728500110036
HEATR5B,0.149031661102507,0.124622581092348
SEC62,0.035170122646563,0.174765489335436
RPS20,0.00387366023632736,0.0595743364246694
CSDE1,0.887730986477985,0.870430934935737
UBE3C,0.776688532606587,0.512640360521341
REV3L,0.00166819811243859,0.00778890122048793
