term	set_size	overlap	pval	padj
Immune::ZAK_PBMC_MRKAD5_HIV_1_GAG_POL_NEF_AGE_20_50YO_1DY_DN	698	322	2.6513244624727513e-53	2.1687834103027107e-49
Reactome::REACTOME_EUKARYOTIC_TRANSLATION_ELONGATION	90	84	1.729269020575425e-49	7.072710294153489e-46
Reactome::REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	116	94	2.723757801244439e-43	7.426779604726503e-40
Reactome::REACTOME_SELENOAMINO_ACID_METABOLISM	94	82	8.002539930675518e-43	1.6365194158231436e-39
Reactome::REACTOME_RESPONSE_OF_EIF2AK4_GCN2_TO_AMINO_ACID_DEFICIENCY	98	82	6.3928348444349726e-40	1.0458677805495615e-36
GO_BP::GOBP_CYTOPLASMIC_TRANSLATION	139	98	7.119305938445223e-36	9.70598709608032e-33
Reactome::REACTOME_NONSENSE_MEDIATED_DECAY_NMD	111	83	1.3263979975275681e-33	1.5499908028250726e-30
Reactome::REACTOME_SRP_DEPENDENT_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	109	81	1.7376067051518747e-32	1.7767028560177922e-29
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_7DY_DN	135	92	7.094940863997008e-32	6.448512918610614e-29
Immune::GSE42088_UNINF_VS_LEISHMANIA_INF_DC_2H_DN	159	99	2.43920385373138e-29	1.9952687523522686e-26
GO_BP::GOBP_CELL_ACTIVATION	554	228	6.803823921663926e-28	5.059570879928265e-25
GO_BP::GOBP_ADAPTIVE_IMMUNE_RESPONSE	300	148	7.974941197520004e-28	5.436251582976135e-25
Reactome::REACTOME_CELLULAR_RESPONSE_TO_STARVATION	137	88	1.2525175682117521e-27	7.881225929209333e-25
Reactome::REACTOME_INFLUENZA_INFECTION	148	92	2.9777862794052347e-27	1.739877983252487e-24
Immune::GSE42088_UNINF_VS_LEISHMANIA_INF_DC_4H_DN	152	91	3.0623374591847813e-25	1.6475076406147602e-22
GO_BP::GOBP_LYMPHOCYTE_ACTIVATION	457	193	3.2225088324983083e-25	1.6475076406147602e-22
GO_BP::GOBP_POSITIVE_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	543	216	4.606291868911071e-24	2.2164392639819154e-21
Immune::GSE22886_NAIVE_TCELL_VS_DC_UP	189	101	1.3609659520481868e-22	5.965849791301061e-20
GO_BP::GOBP_T_CELL_ACTIVATION	320	145	1.3857108317202952e-22	5.965849791301061e-20
GO_BP::GOBP_MONONUCLEAR_CELL_DIFFERENTIATION	262	126	1.6065828026673131e-22	6.57092366290931e-20
GO_BP::GOBP_LEUKOCYTE_DIFFERENTIATION	322	145	2.9291150648845055e-22	1.140960058607393e-19
Reactome::REACTOME_REGULATION_OF_EXPRESSION_OF_SLITS_AND_ROBOS	151	85	3.7383311643073035e-21	1.3899794965469882e-18
Reactome::REACTOME_SARS_COV_1_MODULATES_HOST_TRANSLATION_MACHINERY	36	34	5.257887863074292e-21	1.8699792486933784e-18
GO_BP::GOBP_CELL_ADHESION	457	183	8.891617667639132e-21	3.030559688387004e-18
Reactome::REACTOME_NERVOUS_SYSTEM_DEVELOPMENT	289	131	1.7215566748251323e-20	5.573329258231012e-18
Reactome::REACTOME_SIGNALING_BY_ROBO_RECEPTORS	173	92	1.7714738473594902e-20	5.573329258231012e-18
GO_BP::GOBP_CELL_MOTILITY	553	210	1.8465096977953556e-20	5.5942404918392626e-18
Reactome::REACTOME_ACTIVATION_OF_THE_MRNA_UPON_BINDING_OF_THE_CAP_BINDING_COMPLEX_AND_EIFS_AND_SUBSEQUENT_BINDING_TO_43S	58	45	7.43338863302111e-20	2.1716113935040245e-17
GO_BP::GOBP_CELL_CELL_ADHESION	309	136	7.988314166856418e-20	2.2532555132719138e-17
GO_BP::GOBP_HEMOPOIESIS	479	186	2.2753406467070907e-19	6.204095496688e-17
GO_BP::GOBP_REGULATION_OF_IMMUNE_SYSTEM_PROCESS	742	259	2.863106074481669e-19	7.554905706212921e-17
Reactome::REACTOME_DEVELOPMENTAL_BIOLOGY	458	179	5.2945573542254495e-19	1.3534212236738805e-16
Immune::GAUCHER_PBMC_YF_VAX_STAMARIL_UNKNOWN_AGE_3DY_DN	73	51	6.437077467253163e-19	1.5956149600645722e-16
Immune::SCHERER_PBMC_APSV_WETVAX_AGE_18_32YO_5_TO_7DY_DN	146	79	2.4291950103162887e-18	5.844357407172718e-16
GO_BP::GOBP_REGULATION_OF_CELL_ACTIVATION	318	135	4.998692537378772e-18	1.1682658558788103e-15
GO_BP::GOBP_REGULATION_OF_CELL_ADHESION	323	136	8.732219099671388e-18	1.9841542287586656e-15
GO_BP::GOBP_DEFENSE_RESPONSE	773	262	1.4937146618242925e-17	3.226787642663172e-15
Immune::GSE2405_0H_VS_9H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	181	90	1.4989967044156545e-17	3.226787642663172e-15
Immune::GSE22886_NAIVE_BCELL_VS_NEUTROPHIL_UP	148	78	3.0882715447178395e-17	6.477451598921007e-15
GO_BP::GOBP_POSITIVE_REGULATION_OF_MULTICELLULAR_ORGANISMAL_PROCESS	630	222	4.718176690546062e-17	9.648671332166696e-15
Immune::GSE2405_0H_VS_24H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_UP	187	91	5.836468431933332e-17	1.1644466286149917e-14
