setting,perturb_fraction,graph_weight,mc_loss,o_loss,train_clf_loss,val_clf_loss,test_clf_loss
annotation_perturb0p0,0.0,1.0,-0.757236659526825,0.30653899908065796,0.357486754655838,0.4478923976421356,0.4736793339252472
annotation_perturb0p1,0.1,1.0,-0.9567966461181641,1.1986383199691772,0.36532941460609436,0.436687171459198,0.4643709063529968
annotation_perturb0p2,0.2,1.0,-0.9693429470062256,1.2555254697799683,0.4069858491420746,0.4441215693950653,0.44909781217575073
annotation_perturb0p3,0.3,1.0,-0.9819686412811279,1.2864949703216553,0.44626232981681824,0.48108407855033875,0.47800612449645996
annotation_perturb0p4,0.4,1.0,-0.9813550710678101,1.2945513725280762,0.38664042949676514,0.4414045214653015,0.444139301776886
annotation_perturb0p5,0.5,1.0,-0.9794339537620544,1.2941795587539673,0.4035918414592743,0.4516163766384125,0.4511871039867401
annotation_perturb0p6,0.6,1.0,-0.9802890419960022,1.2945531606674194,0.45785853266716003,0.4705618917942047,0.4726654291152954
annotation_perturb0p7,0.7,1.0,-0.9814500212669373,1.294877529144287,0.41896721720695496,0.4417158365249634,0.4453694522380829
annotation_perturb0p8,0.8,1.0,-0.9831721186637878,1.2952961921691895,0.41930919885635376,0.44345688819885254,0.44702014327049255
annotation_perturb0p9,0.9,1.0,-0.9819601774215698,1.2949599027633667,0.6694632768630981,0.6538847088813782,0.6752220988273621
annotation_perturb1p0,1.0,1.0,-0.9825429916381836,1.2952675819396973,0.3787723183631897,0.4212748408317566,0.4293673038482666
